Year,Total Population
2010,"595240"
2011,"603174"
2012,"612916"
2013,"624681"
2014,"637850"
2015,"653017"
2016,"668849"
2017,"688245"
2018,"708823"
2019,"724305"
2020,"741251"
2021,"726054"
2022,"734603"
